bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
gliac_2026,GLIAC,women,4,Saginaw Valley State Universit,433.0,1095.0,3241.0,0.395434,0.133601,Tier 3,,Tier 3
gliac_2026,GLIAC,women,5,Davenport University,411.0,1095.0,3241.0,0.375342,0.126813,Tier 3,,Tier 3
gliac_2026,GLIAC,women,6,Lake Superior State University,3.0,1095.0,3241.0,0.00274,0.000926,Tier 4,,Tier 4
horizonleague_2026,Horizon League,men,1,Oakland University,904.0,904.0,3356.0,1.0,0.269368,Tier 1,Super Powerhouse,Tier 1A
horizonleague_2026,Horizon League,men,2,IU Indianapolis,785.5,904.0,3356.0,0.868916,0.234058,Tier 1,Powerhouse,Tier 1B
horizonleague_2026,Horizon League,men,3,Youngstown State University,494.0,904.0,3356.0,0.54646,0.147199,Tier 3,,Tier 3
horizonleague_2026,Horizon League,men,4,University of Wisconsin-Milwau,438.0,904.0,3356.0,0.484513,0.130513,Tier 3,,Tier 3
horizonleague_2026,Horizon League,men,5,Cleveland State University,391.0,904.0,3356.0,0.432522,0.116508,Tier 3,,Tier 3
horizonleague_2026,Horizon League,men,6,Green Bay Phoenix,193.0,904.0,3356.0,0.213496,0.057509,Tier 4,,Tier 4
horizonleague_2026,Horizon League,men,7,Northern Kentucky University,150.5,904.0,3356.0,0.166482,0.044845,Tier 4,,Tier 4
horizonleague_2026,Horizon League,women,1,Oakland University,896.5,896.5,3344.0,1.0,0.268092,Tier 1,Super Powerhouse,Tier 1A
horizonleague_2026,Horizon League,women,2,University of Wisconsin-Milwau,641.0,896.5,3344.0,0.715003,0.191687,Tier 2,,Tier 2
horizonleague_2026,Horizon League,women,3,IU Indianapolis,530.0,896.5,3344.0,0.591188,0.158493,Tier 3,,Tier 3
horizonleague_2026,Horizon League,women,4,Cleveland State University,442.0,896.5,3344.0,0.493028,0.132177,Tier 3,,Tier 3
horizonleague_2026,Horizon League,women,5,Youngstown State University,430.0,896.5,3344.0,0.479643,0.128589,Tier 3,,Tier 3
horizonleague_2026,Horizon League,women,6,Green Bay Phoenix,273.5,896.5,3344.0,0.305075,0.081788,Tier 4,,Tier 4
horizonleague_2026,Horizon League,women,7,Northern Kentucky University,131.0,896.5,3344.0,0.146124,0.039175,Tier 4,,Tier 4
ivyleague_2026,Ivy League,men,1,Princeton University,1474.0,1474.0,7841.0,1.0,0.187986,Tier 1,Powerhouse,Tier 1B
ivyleague_2026,Ivy League,men,2,Yale University,1274.5,1474.0,7841.0,0.864654,0.162543,Tier 1,Powerhouse,Tier 1B
ivyleague_2026,Ivy League,men,3,Harvard Men's Swimming,1173.5,1474.0,7841.0,0.796133,0.149662,Tier 2,,Tier 2
ivyleague_2026,Ivy League,men,4,Columbia University,901.5,1474.0,7841.0,0.611601,0.114973,Tier 2,,Tier 2
